"","22RV1_70","22RV1_78","22RV1_85","22RV1_76","22RV1_84","22RV1_91","22RV1_74","22RV1_82","22RV1_89","22RV1_73","22RV1_81","22RV1_88","22RV1_75","22RV1_83","22RV1_90","22RV1_71","22RV1_79","22RV1_86","22RV1_72","22RV1_80","22RV1_87","LNCaP_92","LNCaP_99","LNCaP_106","LNCaP_98","LNCaP_105","LNCaP_112","LNCaP_96","LNCaP_103","LNCaP_110","LNCaP_95","LNCaP_102","LNCaP_109","LNCaP_97","LNCaP_104","LNCaP_111","LNCaP_93","LNCaP_100","LNCaP_107","LNCaP_94","LNCaP_101","LNCaP_108","PC3_49","PC3_56","PC3_63","PC3_55","PC3_62","PC3_69","PC3_53","PC3_60","PC3_67","PC3_52","PC3_59","PC3_66","PC3_54","PC3_61","PC3_68","PC3_50","PC3_57","PC3_64","PC3_51","PC3_58","PC3_65"
"PC O-30:1",0.19486009331713,0.11049916,0.03757973,0.203071665761911,0.03658212,0.0575433,0.08128057,0.06955751,0.08383939,0.09392237,0.130797699475847,0.04837275,0.10183565,0.06464118,0.0385286277781313,0.08880588,0.08430501,0.13961971546001,0.07728231,0.09055457,0.0469388411562133,0.0256299317955508,0.17143556,0.14763603,0.05507753,0.15844163265885,0.16771357190367,0.0383116753486025,0.143579753562412,0.15899256,0.0758436811907798,0.0848134244699141,0.19076906,0.0844043507254016,0.22803528782127,0.12378226,0.0279619008165945,0.138420912998348,0.11885902,0.04259225,0.10064753,0.16326391,0.62849824,0.44993506,0.46660003,0.21193728,0.42210347,0.32421996,0.31455919,0.35096807,0.39654079,0.30006565,0.46594039,0.37762299,0.14587104,0.20919885,0.40612923,0.28616813,0.54484686,0.41026701,0.32304752,0.36486734,0.3637165
"PC O-32:0",0.301531129335648,0.10398823,0.42016623,0.247930740018483,0.04572386,0.20816496,0.1860993,0.0559786,0.18532593,0.14983777,0.0974692159586653,0.25530467,0.21150743,0.02169501,0.297391930245672,0.16595958,0.08443617,0.422381623323724,0.12493915,0.06136864,0.340270377197391,NA,NA,0.00803583,0.0256518,NA,NA,NA,NA,0.00678251,NA,NA,NA,NA,NA,NA,NA,NA,0.01682329,NA,0.01815393,0.00764086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC O-32:1",0.732860756773148,0.31516155,0.65932675,0.517193599842552,0.25039615,0.34542304,0.39344305,0.3205593,0.28574506,0.34351181,0.386279249176419,0.42703425,0.4154892,0.20573727,0.708606023454684,0.30184426,0.2891502,0.766328191357949,0.24535046,0.25594379,0.69138208014874,0.119734708256658,0.4100264,0.4011706,0.18887993,0.563650310395234,0.406136491383519,0.242220250944876,0.423673962677945,0.3568884,0.0738826385477405,0.397392909385745,0.36904833,0.041245049252008,0.657909360908419,0.43150397,0.0517494904403584,0.563952645366189,0.41982298,0.13460104,0.26491926,0.38693493,2.7048858,2.09591934,2.4591128,0.77488956,1.90329663,1.61968207,1.45028128,1.71877285,1.92981097,1.25174794,2.16711067,1.93358437,0.64145908,1.02487113,1.75190583,1.18146739,2.47044471,1.90654853,1.35064044,1.53067978,1.73827721
"PC O-32:2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96083537,0.5935828,0.74218704,0.25157951,0.61921443,0.50732727,0.42035733,0.5533287,0.56017671,0.35217415,0.70304303,0.62472029,0.17625509,0.32053465,0.60719564,0.36502123,0.73719873,0.58044954,0.38614903,0.50110393,0.54468666
"PC O-34:0",0.754785018018519,0.39465152,0.74291906,0.529143647105011,0.26254651,0.36839695,0.45550701,0.37574245,0.35961387,0.37076331,0.420800091657744,0.41677236,0.49250258,0.34887644,0.633661585047097,0.35471056,0.33291801,0.818939366768891,0.30698289,0.28374275,0.727560952108734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC O-34:1",1.92304012331019,0.65314873,2.07004626,1.4270040944236,0.56804346,1.07788805,0.93334202,0.63513345,0.94808091,0.84408112,0.726529837479457,1.46593221,1.20833264,0.55777844,1.94919768797734,0.82220111,0.64222963,2.47768480704244,0.72728709,0.47878658,2.47592275919182,0.0779878043053873,0.31576557,0.42973901,0.09684536,0.440913511293495,0.413706204013762,0.0318141910015528,0.42849292805838,0.36528164,0.215051151800291,0.408983551369986,0.31659909,0.0348066601907631,0.532577706325701,0.50258218,0.0769774275695303,0.38914818879956,0.42388585,0.07277012,0.2543066,0.37033013,2.52766442,2.04201898,2.25344098,0.80265016,2.01168727,1.59074177,1.42129064,1.81367791,1.82340025,1.22779986,2.24516977,1.82547215,0.65408279,1.09524944,1.68589833,1.14155496,2.43745013,1.83285328,1.32979564,1.60752785,1.71703693
"PC O-34:2",1.31736641569907,0.55991967,0.92188834,0.97397368810104,0.46828831,0.54432311,0.73354537,0.60853932,0.42242274,0.57162471,0.672977133580055,0.65465158,0.87044354,0.50211282,1.04846442198383,0.57394981,0.58881718,1.14885360517419,0.46573953,0.41718662,1.27772395602213,0.921182409788135,1.19792689,1.1131772,0.58885769,1.61602277243759,1.5657708128596,1.00687135977251,1.32937015569688,0.97736718,0.958439298878462,1.39150541584169,1.04587708,1.02342259404869,1.59944264565177,1.390543,0.734220243103368,1.48122890065529,1.22404366,0.50514485,0.76411199,1.09234827,2.05790494,1.42633081,1.6697145,0.57744296,1.38819426,1.16351464,1.05350557,1.26135104,1.28104037,0.95138739,1.59609444,1.32830813,0.4463256,0.74447185,1.31134474,0.86075156,1.77377953,1.28431508,0.97244374,1.14994799,1.23416402
"PC O-36:1",0.99658378600463,0.26318895,0.69577768,0.813903300297782,0.20356196,0.37471143,0.53905874,0.24918148,0.30602576,0.50204799,0.303491074228088,0.52706879,0.68813683,0.23538598,0.612484497407077,0.46252103,0.26951498,0.753303430403582,0.41473012,0.22691475,0.821085051295428,NA,0.06362731,0.06659916,NA,0.067254147118003,NA,NA,0.0577484311719845,0.1122148,NA,0.0358538272430158,0.10696615,NA,0.0439117804874446,0.02463938,NA,NA,0.06606135,0.0315197,0.03677945,0.09111087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC O-36:2",1.41246240659259,0.46467411,1.08158162,1.06804416765197,0.40762995,0.564423,0.71687484,0.51420877,0.50579097,0.68830412,0.593475905131972,0.82117472,0.94009651,0.52008212,1.10215343928017,0.6403858,0.46698596,1.21026758950871,0.52849545,0.39773977,1.3577459677755,0.0240838514096549,0.18179083,0.15337401,0.02725875,0.147803774739032,0.225490780070446,NA,0.0903641775157783,0.18017138,NA,0.214466376277758,0.16497857,NA,0.11274969782127,0.05733638,NA,0.168639835996696,0.19351118,0.0251965,0.15941291,0.16664471,0.8658536,0.62836148,0.72151632,0.26258246,0.61759008,0.47030113,0.47871521,0.57559295,0.56407554,0.44588248,0.71479093,0.63239117,0.21144711,0.34034041,0.5936219,0.38630258,0.73820967,0.59683796,0.43002571,0.53424664,0.57344693
"PC O-36:3",0.556280847027778,0.23819266,0.53255137,0.444809832272727,0.21419842,0.29078097,0.27289111,0.21477401,0.24239835,0.28433998,0.338801512778262,0.34680862,0.4097337,0.22717538,0.546553908440682,0.2436447,0.25864692,0.65002484436028,0.20731311,0.20874575,0.484953997141706,0.0264701713188559,0.20375234,0.18226699,NA,0.171859917441377,0.0239951292635976,NA,0.0774807558292425,0.14050354,NA,0.172585590263252,0.1750782,NA,0.155411646669128,0.04356024,0.0338762197643696,0.134937249096916,0.06811054,0.02553389,0.14043475,0.12457214,0.47078955,0.32496824,0.39717794,0.14630007,0.33874149,0.30811881,0.24762283,0.2772752,0.30967261,0.23519591,0.40799329,0.35463434,0.12383349,0.21127891,0.3325173,0.21815688,0.44271164,0.32963449,0.24079171,0.30977279,0.29320785
