"","Lipid_Class","Sum_Formula","Adduct","Expected_Mass","Number_C_atoms","Number_DBs","Number_OHs","Method"
"PC O-30:1","PC O","C39H77NO9P","+HCOO-",734.53414325914,30,1,0,"FTMS- 520-960 mz"
"PC O-32:0","PC O","C41H83NO9P","+HCOO-",764.58109345156,32,0,0,"FTMS- 520-960 mz"
"PC O-32:1","PC O","C41H81NO9P","+HCOO-",762.56544338742,32,1,0,"FTMS- 520-960 mz"
"PC O-32:2","PC O","C41H79NO9P","+HCOO-",760.54979332328,32,2,0,"FTMS- 520-960 mz"
"PC O-34:0","PC O","C43H87NO9P","+HCOO-",792.61239357984,34,0,0,"FTMS- 520-960 mz"
"PC O-34:1","PC O","C43H85NO9P","+HCOO-",790.5967435157,34,1,0,"FTMS- 520-960 mz"
"PC O-34:2","PC O","C43H83NO9P","+HCOO-",788.58109345156,34,2,0,"FTMS- 520-960 mz"
"PC O-36:1","PC O","C45H89NO9P","+HCOO-",818.62804364398,36,1,0,"FTMS- 520-960 mz"
"PC O-36:2","PC O","C45H87NO9P","+HCOO-",816.61239357984,36,2,0,"FTMS- 520-960 mz"
"PC O-36:3","PC O","C45H85NO9P","+HCOO-",814.5967435157,36,3,0,"FTMS- 520-960 mz"
"PC O-36:4","PC O","C45H83NO9P","+HCOO-",812.58109345156,36,4,0,"FTMS- 520-960 mz"
"PC O-36:5","PC O","C45H81NO9P","+HCOO-",810.56544338742,36,5,0,"FTMS- 520-960 mz"
"PC O-38:1","PC O","C47H93NO9P","+HCOO-",846.65934377226,38,1,0,"FTMS- 520-960 mz"
"PC O-38:4","PC O","C47H87NO9P","+HCOO-",840.61239357984,38,4,0,"FTMS- 520-960 mz"
"PC O-38:5","PC O","C47H85NO9P","+HCOO-",838.5967435157,38,5,0,"FTMS- 520-960 mz"
"PC O-38:6","PC O","C47H83NO9P","+HCOO-",836.58109345156,38,6,0,"FTMS- 520-960 mz"
"PC O-40:6","PC O","C49H87NO9P","+HCOO-",864.61239357984,40,6,0,"FTMS- 520-960 mz"
"PC 30:0","PC","C39H77NO10P","+HCOO-",750.5290578787,30,0,0,"FTMS- 520-960 mz"
"PC 30:1","PC","C39H75NO10P","+HCOO-",748.51340781456,30,1,0,"FTMS- 520-960 mz"
"PC 32:0","PC","C41H81NO10P","+HCOO-",778.56035800698,32,0,0,"FTMS- 520-960 mz"
"PC 32:1","PC","C41H79NO10P","+HCOO-",776.54470794284,32,1,0,"FTMS- 520-960 mz"
"PC 32:2","PC","C41H77NO10P","+HCOO-",774.5290578787,32,2,0,"FTMS- 520-960 mz"
"PC 34:1","PC","C43H83NO10P","+HCOO-",804.57600807112,34,1,0,"FTMS- 520-960 mz"
"PC 34:2","PC","C43H81NO10P","+HCOO-",802.56035800698,34,2,0,"FTMS- 520-960 mz"
"PC 34:3","PC","C43H79NO10P","+HCOO-",800.54470794284,34,3,0,"FTMS- 520-960 mz"
"PC 34:4","PC","C43H77NO10P","+HCOO-",798.5290578787,34,4,0,"FTMS- 520-960 mz"
"PC 36:1","PC","C45H87NO10P","+HCOO-",832.6073081994,36,1,0,"FTMS- 520-960 mz"
"PC 36:2","PC","C45H85NO10P","+HCOO-",830.59165813526,36,2,0,"FTMS- 520-960 mz"
"PC 36:3","PC","C45H83NO10P","+HCOO-",828.57600807112,36,3,0,"FTMS- 520-960 mz"
"PC 36:4","PC","C45H81NO10P","+HCOO-",826.56035800698,36,4,0,"FTMS- 520-960 mz"
"PC 36:5","PC","C45H79NO10P","+HCOO-",824.54470794284,36,5,0,"FTMS- 520-960 mz"
"PC 36:6","PC","C45H77NO10P","+HCOO-",822.5290578787,36,6,0,"FTMS- 520-960 mz"
"PC 38:1","PC","C47H91NO10P","+HCOO-",860.63860832768,38,1,0,"FTMS- 520-960 mz"
"PC 38:2","PC","C47H89NO10P","+HCOO-",858.62295826354,38,2,0,"FTMS- 520-960 mz"
"PC 38:3","PC","C47H87NO10P","+HCOO-",856.6073081994,38,3,0,"FTMS- 520-960 mz"
"PC 38:4","PC","C47H85NO10P","+HCOO-",854.59165813526,38,4,0,"FTMS- 520-960 mz"
"PC 38:5","PC","C47H83NO10P","+HCOO-",852.57600807112,38,5,0,"FTMS- 520-960 mz"
"PC 38:6","PC","C47H81NO10P","+HCOO-",850.56035800698,38,6,0,"FTMS- 520-960 mz"
"PC 40:4","PC","C49H89NO10P","+HCOO-",882.62295826354,40,4,0,"FTMS- 520-960 mz"
"PC 40:5","PC","C49H87NO10P","+HCOO-",880.6073081994,40,5,0,"FTMS- 520-960 mz"
"PC 40:6","PC","C49H85NO10P","+HCOO-",878.59165813526,40,6,0,"FTMS- 520-960 mz"
"PC 40:7","PC","C49H83NO10P","+HCOO-",876.57600807112,40,7,0,"FTMS- 520-960 mz"
"PC 40:8","PC","C49H81NO10P","+HCOO-",874.56035800698,40,8,0,"FTMS- 520-960 mz"
"PE O-32:2","PE O","C37H71NO7P","-H+",672.4973638276,32,2,0,"FTMS- 520-960 mz"
"PE O-34:2","PE O","C39H75NO7P","-H+",700.52866395588,34,2,0,"FTMS- 520-960 mz"
"PE O-34:3","PE O","C39H73NO7P","-H+",698.51301389174,34,3,0,"FTMS- 520-960 mz"
"PE O-36:2","PE O","C41H79NO7P","-H+",728.55996408416,36,2,0,"FTMS- 520-960 mz"
"PE O-36:3","PE O","C41H77NO7P","-H+",726.54431402002,36,3,0,"FTMS- 520-960 mz"
"PE O-36:4","PE O","C41H75NO7P","-H+",724.52866395588,36,4,0,"FTMS- 520-960 mz"
"PE O-36:5","PE O","C41H73NO7P","-H+",722.51301389174,36,5,0,"FTMS- 520-960 mz"
"PE O-36:6","PE O","C41H71NO7P","-H+",720.4973638276,36,6,0,"FTMS- 520-960 mz"
"PE O-38:2","PE O","C43H83NO7P","-H+",756.59126421244,38,2,0,"FTMS- 520-960 mz"
"PE O-38:4","PE O","C43H79NO7P","-H+",752.55996408416,38,4,0,"FTMS- 520-960 mz"
"PE O-38:5","PE O","C43H77NO7P","-H+",750.54431402002,38,5,0,"FTMS- 520-960 mz"
"PE O-38:6","PE O","C43H75NO7P","-H+",748.52866395588,38,6,0,"FTMS- 520-960 mz"
"PE O-38:7","PE O","C43H73NO7P","-H+",746.51301389174,38,7,0,"FTMS- 520-960 mz"
"PE O-40:4","PE O","C45H83NO7P","-H+",780.59126421244,40,4,0,"FTMS- 520-960 mz"
"PE O-40:5","PE O","C45H81NO7P","-H+",778.5756141483,40,5,0,"FTMS- 520-960 mz"
"PE O-40:6","PE O","C45H79NO7P","-H+",776.55996408416,40,6,0,"FTMS- 520-960 mz"
"PE O-40:7","PE O","C45H77NO7P","-H+",774.54431402002,40,7,0,"FTMS- 520-960 mz"
"PE O-40:8","PE O","C45H75NO7P","-H+",772.52866395588,40,8,0,"FTMS- 520-960 mz"
"PE 32:0","PE","C37H73NO8P","-H+",690.5079285113,32,0,0,"FTMS- 520-960 mz"
"PE 32:2","PE","C37H69NO8P","-H+",686.47662838302,32,2,0,"FTMS- 520-960 mz"
"PE 34:1","PE","C39H75NO8P","-H+",716.52357857544,34,1,0,"FTMS- 520-960 mz"
"PE 34:2","PE","C39H73NO8P","-H+",714.5079285113,34,2,0,"FTMS- 520-960 mz"
"PE 34:3","PE","C39H71NO8P","-H+",712.492278447159,34,3,0,"FTMS- 520-960 mz"
"PE 34:4","PE","C39H69NO8P","-H+",710.47662838302,34,4,0,"FTMS- 520-960 mz"
"PE 36:1","PE","C41H79NO8P","-H+",744.55487870372,36,1,0,"FTMS- 520-960 mz"
"PE 36:2","PE","C41H77NO8P","-H+",742.53922863958,36,2,0,"FTMS- 520-960 mz"
"PE 36:3","PE","C41H75NO8P","-H+",740.52357857544,36,3,0,"FTMS- 520-960 mz"
"PE 36:4","PE","C41H73NO8P","-H+",738.5079285113,36,4,0,"FTMS- 520-960 mz"
"PE 36:5","PE","C41H71NO8P","-H+",736.492278447159,36,5,0,"FTMS- 520-960 mz"
"PE 36:6","PE","C41H69NO8P","-H+",734.47662838302,36,6,0,"FTMS- 520-960 mz"
"PE 38:1","PE","C43H83NO8P","-H+",772.586178832,38,1,0,"FTMS- 520-960 mz"
"PE 38:2","PE","C43H81NO8P","-H+",770.57052876786,38,2,0,"FTMS- 520-960 mz"
"PE 38:3","PE","C43H79NO8P","-H+",768.55487870372,38,3,0,"FTMS- 520-960 mz"
